2025-04-26 02:43:33 - User: 001 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 02:44:19 - User: 001 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 16:35:35 - User: 002 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 16:36:00 - User: 002 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 16:42:29 - User: 002 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 16:42:54 - User: 002 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 16:43:01 - User: 002 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 16:43:44 - User: 002 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 16:45:59 - User: 002 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 16:55:34 - User: 002 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 16:55:46 - User: 002 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 16:58:19 - User: 002 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 16:58:50 - User: 002 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 16:59:07 - User: 002 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 17:02:57 - User: 002 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 17:16:09 - User: 002 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 17:16:22 - User: 002 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 17:16:31 - User: 002 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 17:16:39 - User: 002 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 17:16:46 - User: 002 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 17:16:54 - User: 002 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 17:18:49 - User: 002 - Status: invalid - Info: Wakacao Bintaro (8490m dari lokasi, melebihi radius 100m)
2025-04-26 17:21:18 - User: 002 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 17:21:30 - User: 002 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 17:25:33 - User: 001 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 17:25:43 - User: 001 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 17:26:06 - User: 001 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 17:26:17 - User: 001 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 17:28:30 - User: 001 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 17:31:40 - User: 001 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 17:32:54 - User: 001 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 20:09:23 - User: 001 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 20:09:44 - User: 001 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 20:29:28 - User: 090903 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 20:43:56 - User: 230901 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 20:45:34 - User: 230901 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 20:45:47 - User: 230901 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 20:47:07 - User: 090903 - Status: invalid - Info: Wakacao Bintaro (27805m dari lokasi, melebihi radius 100m)
2025-04-26 21:09:23 - User: 001 - Status: valid - Info: Wakacao Bintaro
